S_no,Gender,Degree,Specialization,CGPA,marks_12,Company_Placed,Package,Speaking,Extra_Curricular,Internship_Experience,Python,Java,C,CPP,DBMS,OOPS,Data_Structures,SQL,Operating_Systems,Data_Communication_and_Computer_Networks,Machine_Learning,Deep_Learning,Mobile_App_Development,Web_App_Development
1,Male,B.E/B.Tech,CSE,8.94,98.6,Mathworks,15.5,8,6,Yes,9,5,8,6,7,8,7,9,6,5,7,4,4,9
2,Male,B.E/B.Tech,CSE,8.43,82.6,JP Morgan Chase,14,9,8,Yes,9,5,8,5,7,8,8,9,7,5,7,5,7,6
3,Female,B.E/B.Tech,CSE,8.2,97,JP Morgan Chase,14,10,8,Yes,8,5,7,4,7,7,8,7,6,4,7,5,0,7
4,Female,B.E/B.Tech,CSE,9.3,98.7,JP Morgan Chase,14,8,7,Yes,8,6,8,5,9,9,8,9,8,7,7,6,3,8
5,Female,B.E/B.Tech,CSE,8.89,98.6,JP Morgan Chase,14,7,6,Yes,9,5,8,6,8,9,8,8,7,6,5,4,0,7
6,Female,B.E/B.Tech,CSE,7.61,96.2,Cognizant GenC,4,2,1,No,4,2,4,2,2,3,1,3,2,2,3,0,0,3
7,Female,B.E/B.Tech,CSE,9.16,97.2,JP Morgan Chase,14,8,5,Yes,7,4,8,5,7,9,8,7,6,4,7,5,0,7
8,Female,B.E/B.Tech,CSE,7.86,98,PwC Acceleration Center,6,4,3,No,5,2,5,0,4,5,3,5,4,2,4,0,0,5
9,Female,B.E/B.Tech,CSE,8.73,98.3,Advance Auto Parts,9,6,6,Yes,7,5,7,4,7,6,6,7,5,3,6,2,0,7
10,Female,B.E/B.Tech,CSE,8.2,96.4,JP Morgan Chase,14,8,8,Yes,8,4,6,2,7,8,6,8,5,3,6,5,8,5
11,Female,B.E/B.Tech,CSE,9.32,99,Barclays,12.73,10,8,Yes,8,5,9,6,8,9,8,7,6,6,7,6,0,7
12,Female,B.E/B.Tech,CSE,8.75,97.7,Barclays,12.73,8,6,Yes,9,6,8,6,8,9,8,8,7,7,6,5,0,8
